id,created_at,total_amount,items_count
55,2025-01-02T17:25:00,1417.35,11
56,2025-01-02T14:16:00,960.78,6
57,2025-01-02T22:26:00,564.18,6
58,2025-01-02T21:09:00,180.36,3
59,2025-01-02T16:05:00,1233.53,10
60,2025-01-02T13:03:00,513.09,3
61,2025-01-02T14:20:00,1572.68,11
62,2025-01-02T06:42:00,994.49,9
63,2025-01-02T07:28:00,425.89,4
64,2025-01-02T06:50:00,1120.34,7
65,2025-01-02T10:34:00,474.81,4
66,2025-01-02T07:26:00,1324.97,7
67,2025-01-02T15:41:00,667.88,5
68,2025-01-02T06:09:00,135.45,1
69,2025-01-02T07:42:00,973.77,10
70,2025-01-02T07:13:00,1217.61,9
71,2025-01-02T10:54:00,777.86,9
72,2025-01-02T20:14:00,671.4,5
73,2025-01-02T19:21:00,450.75,3
74,2025-01-02T17:26:00,1175.85,8
75,2025-01-02T11:21:00,417.08,5
76,2025-01-02T21:13:00,867.22,7
77,2025-01-02T13:55:00,1289.37,9
78,2025-01-02T10:38:00,665.27,4
79,2025-01-02T09:49:00,58.61,1
80,2025-01-02T22:08:00,966.55,6
81,2025-01-02T22:40:00,599.93,7
82,2025-01-02T16:30:00,410.16,5
83,2025-01-02T09:04:00,362.32,5
84,2025-01-02T16:42:00,860.49,5
85,2025-01-02T18:21:00,231.42,3
86,2025-01-02T13:57:00,702.71,6
87,2025-01-02T16:32:00,1148.68,9
88,2025-01-02T11:25:00,104.28,1
89,2025-01-02T07:24:00,951.97,8
90,2025-01-02T13:18:00,1038.24,8
91,2025-01-02T12:19:00,888.0,7
92,2025-01-02T20:42:00,517.46,5
93,2025-01-02T16:27:00,399.99,6
94,2025-01-02T08:39:00,1311.93,10
95,2025-01-02T18:06:00,122.12,2
96,2025-01-02T13:29:00,441.75,4
97,2025-01-02T13:57:00,343.82,2
98,2025-01-02T11:06:00,590.59,6
99,2025-01-02T15:04:00,499.29,3
100,2025-01-02T22:09:00,893.61,9
101,2025-01-02T19:06:00,633.72,5
102,2025-01-02T09:40:00,771.77,5
103,2025-01-02T09:45:00,185.81,1
104,2025-01-02T11:40:00,610.5,6
105,2025-01-02T10:09:00,293.74,2
106,2025-01-02T06:31:00,1037.37,8
107,2025-01-02T13:34:00,544.76,3
108,2025-01-02T08:22:00,817.62,9
109,2025-01-02T20:22:00,1308.74,9
110,2025-01-02T18:54:00,1060.55,7
111,2025-01-02T17:41:00,780.59,9
112,2025-01-02T14:14:00,391.44,4
113,2025-01-02T21:51:00,893.33,8
114,2025-01-02T18:42:00,517.58,4
115,2025-01-02T13:55:00,660.51,5
116,2025-01-02T22:33:00,881.98,10
117,2025-01-02T13:05:00,368.04,5
118,2025-01-02T18:06:00,1160.88,11
119,2025-01-02T18:37:00,105.42,2
120,2025-01-02T13:06:00,1320.05,11
121,2025-01-02T08:24:00,1168.88,7
122,2025-01-02T06:20:00,973.65,6
123,2025-01-02T14:45:00,401.02,4
124,2025-01-02T16:36:00,107.44,2
125,2025-01-02T20:11:00,190.43,1
126,2025-01-02T17:24:00,344.12,4
127,2025-01-02T17:14:00,568.35,8
128,2025-01-02T11:55:00,1237.37,11
129,2025-01-02T07:04:00,1416.62,9
130,2025-01-02T13:51:00,748.51,5
131,2025-01-02T14:07:00,147.74,2
132,2025-01-02T10:24:00,527.55,3
133,2025-01-02T09:01:00,1768.14,12
134,2025-01-02T13:06:00,116.2,1
135,2025-01-02T18:33:00,1787.95,13
136,2025-01-02T20:44:00,259.33,2
137,2025-01-02T17:04:00,513.0,4
138,2025-01-02T10:53:00,396.96,3
139,2025-01-02T10:16:00,848.1,6
140,2025-01-02T14:50:00,914.45,7
141,2025-01-02T11:08:00,1208.71,8
142,2025-01-02T11:19:00,626.02,7
143,2025-01-02T14:50:00,927.56,8
144,2025-01-02T06:29:00,1522.76,10
145,2025-01-02T10:26:00,249.28,2
146,2025-01-03T08:03:00,931.89,8
147,2025-01-03T07:12:00,994.42,9
148,2025-01-03T11:37:00,307.74,3
149,2025-01-03T19:56:00,1252.5,12
150,2025-01-03T16:29:00,501.72,3
151,2025-01-03T08:11:00,633.23,5
152,2025-01-03T14:58:00,1638.75,11
153,2025-01-03T22:54:00,549.43,5
154,2025-01-03T07:34:00,561.18,3
155,2025-01-03T22:47:00,336.63,3
156,2025-01-03T21:52:00,1561.69,9
157,2025-01-03T10:45:00,1351.14,10
158,2025-01-03T20:26:00,549.69,3
159,2025-01-03T17:40:00,467.79,6
160,2025-01-03T15:41:00,638.66,5
161,2025-01-03T13:27:00,267.27,3
162,2025-01-03T08:18:00,681.03,6
163,2025-01-03T15:32:00,806.27,9
164,2025-01-03T16:40:00,1289.2,11
165,2025-01-03T07:27:00,168.54,3
166,2025-01-03T17:27:00,555.43,5
167,2025-01-03T12:39:00,506.45,5
168,2025-01-03T22:43:00,202.46,2
169,2025-01-03T22:15:00,238.1,2
170,2025-01-03T12:09:00,1720.53,11
171,2025-01-03T19:32:00,812.74,10
172,2025-01-03T10:44:00,114.4,2
173,2025-01-03T12:43:00,942.02,7
174,2025-01-03T11:31:00,786.15,8
175,2025-01-03T12:06:00,957.87,10
176,2025-01-03T17:22:00,1084.28,7
177,2025-01-03T17:33:00,1271.89,8
178,2025-01-03T12:23:00,242.26,2
179,2025-01-03T19:05:00,1052.94,6
180,2025-01-03T13:25:00,1147.89,9
181,2025-01-03T18:17:00,1032.58,8
182,2025-01-03T17:47:00,923.03,8
183,2025-01-03T15:58:00,984.78,6
184,2025-01-03T12:10:00,1417.86,9
185,2025-01-03T17:19:00,197.33,1
186,2025-01-03T16:40:00,282.38,2
187,2025-01-03T19:10:00,395.66,4
188,2025-01-03T10:34:00,783.92,5
189,2025-01-03T13:46:00,518.2,3
190,2025-01-03T12:43:00,774.1,7
191,2025-01-03T15:40:00,360.82,3
192,2025-01-03T09:13:00,1528.36,10
193,2025-01-03T17:31:00,587.98,5
194,2025-01-03T16:28:00,835.14,6
195,2025-01-03T12:32:00,1504.71,11
196,2025-01-03T16:47:00,1636.07,11
197,2025-01-03T07:36:00,1259.57,9
198,2025-01-03T16:58:00,628.94,4
199,2025-01-03T15:55:00,291.82,2
200,2025-01-03T10:36:00,1441.41,11
201,2025-01-03T07:21:00,926.97,6
202,2025-01-03T12:04:00,378.76,2
203,2025-01-03T14:50:00,433.74,4
204,2025-01-03T09:18:00,479.02,5
205,2025-01-03T09:02:00,638.17,5
206,2025-01-03T14:34:00,645.11,7
207,2025-01-03T10:00:00,264.98,2
208,2025-01-03T12:54:00,1422.07,10
209,2025-01-03T22:32:00,64.82,1
210,2025-01-03T09:48:00,1365.14,9
211,2025-01-03T20:55:00,240.31,3
212,2025-01-03T10:11:00,718.97,7
213,2025-01-03T21:37:00,562.91,4
214,2025-01-03T18:39:00,277.93,3
215,2025-01-03T10:49:00,399.06,4
216,2025-01-03T22:11:00,1354.94,12
217,2025-01-03T16:00:00,397.98,2
218,2025-01-03T09:49:00,1155.54,8
219,2025-01-03T17:31:00,645.23,5
220,2025-01-03T06:09:00,423.47,5
221,2025-01-03T20:34:00,608.69,4
222,2025-01-03T18:27:00,1271.7,8
223,2025-01-03T17:07:00,1252.63,12
224,2025-01-03T07:24:00,651.38,8
225,2025-01-03T06:32:00,1253.18,9
226,2025-01-03T13:49:00,1873.78,12
227,2025-01-03T10:02:00,236.07,3
228,2025-01-03T06:36:00,797.15,8
229,2025-01-03T17:11:00,1060.35,6
230,2025-01-03T19:34:00,92.12,1
231,2025-01-03T19:45:00,631.93,4
232,2025-01-03T22:39:00,617.17,5
233,2025-01-03T16:36:00,290.52,2
234,2025-01-03T07:04:00,1245.74,9
235,2025-01-03T07:57:00,737.73,6
236,2025-01-03T19:41:00,1327.94,9
237,2025-01-04T12:44:00,726.87,6
238,2025-01-04T21:19:00,999.83,7
239,2025-01-04T22:24:00,377.4,5
240,2025-01-04T06:42:00,852.8,7
241,2025-01-04T19:41:00,490.96,3
242,2025-01-04T07:09:00,921.37,11
243,2025-01-04T19:31:00,1237.76,10
244,2025-01-04T14:15:00,981.28,8
245,2025-01-04T18:42:00,71.61,1
246,2025-01-04T17:01:00,944.26,8
247,2025-01-04T18:13:00,666.46,5
248,2025-01-04T10:20:00,1342.92,11
249,2025-01-04T10:51:00,664.31,7
250,2025-01-04T17:47:00,997.01,9
251,2025-01-04T08:23:00,1165.98,11
252,2025-01-04T11:56:00,880.4,6
253,2025-01-04T06:05:00,441.83,3
254,2025-01-04T22:30:00,1668.84,10
255,2025-01-04T06:14:00,1171.69,8
256,2025-01-04T20:25:00,132.72,2
257,2025-01-04T12:37:00,753.88,4
258,2025-01-04T15:31:00,1119.0,10
259,2025-01-04T07:43:00,282.8,2
260,2025-01-04T13:11:00,1201.42,7
261,2025-01-04T14:10:00,868.32,6
262,2025-01-04T07:56:00,171.93,1
263,2025-01-04T07:18:00,996.44,7
264,2025-01-04T20:54:00,573.94,5
265,2025-01-04T22:44:00,265.42,3
266,2025-01-04T15:08:00,1457.85,12
267,2025-01-04T22:46:00,598.69,6
268,2025-01-04T19:20:00,849.14,5
269,2025-01-04T07:35:00,947.43,10
270,2025-01-04T21:10:00,542.48,5
271,2025-01-04T06:34:00,360.78,2
272,2025-01-04T07:54:00,845.36,7
273,2025-01-04T21:06:00,1020.89,7
274,2025-01-04T12:02:00,375.82,3
275,2025-01-04T20:25:00,826.98,7
276,2025-01-04T06:15:00,888.52,7
277,2025-01-04T08:07:00,837.97,7
278,2025-01-04T12:59:00,1055.51,9
279,2025-01-04T19:24:00,943.37,7
280,2025-01-04T09:29:00,1132.73,8
281,2025-01-04T13:52:00,486.2,3
282,2025-01-04T10:32:00,873.87,6
283,2025-01-04T09:16:00,406.05,5
284,2025-01-04T06:24:00,420.7,4
285,2025-01-04T10:30:00,165.46,1
286,2025-01-04T20:52:00,1593.95,10
287,2025-01-04T08:23:00,686.14,5
288,2025-01-04T11:05:00,501.87,4
289,2025-01-04T06:42:00,639.23,4
290,2025-01-04T19:58:00,618.52,6
291,2025-01-04T16:09:00,129.6,1
292,2025-01-04T20:17:00,435.54,4
293,2025-01-04T15:02:00,659.94,6
294,2025-01-04T07:52:00,137.88,1
295,2025-01-04T21:29:00,1389.69,10
296,2025-01-04T18:08:00,103.6,2
297,2025-01-04T14:37:00,1544.0,12
298,2025-01-04T16:11:00,1035.79,8
299,2025-01-04T18:30:00,1322.42,13
300,2025-01-04T13:55:00,540.73,3
301,2025-01-04T22:35:00,636.18,8
302,2025-01-04T16:56:00,476.29,5
303,2025-01-04T08:01:00,648.63,5
304,2025-01-04T13:22:00,203.16,3
305,2025-01-04T06:08:00,602.46,4
306,2025-01-04T11:11:00,119.66,2
307,2025-01-04T21:23:00,851.08,5
308,2025-01-04T16:19:00,430.23,4
309,2025-01-04T20:32:00,2051.3,13
310,2025-01-04T06:39:00,342.29,3
311,2025-01-04T11:51:00,154.64,1
312,2025-01-04T12:45:00,366.06,5
313,2025-01-04T18:21:00,65.54,1
314,2025-01-04T14:24:00,1000.0,10
315,2025-01-04T08:21:00,534.42,6
316,2025-01-04T14:49:00,457.02,3
317,2025-01-04T10:41:00,1243.95,7
318,2025-01-04T06:01:00,482.09,4
319,2025-01-04T19:42:00,1003.2,8
320,2025-01-04T14:22:00,132.5,1
321,2025-01-04T11:03:00,546.49,5
322,2025-01-04T22:27:00,603.5,4
323,2025-01-04T18:59:00,565.66,7
324,2025-01-04T14:41:00,442.61,3
325,2025-01-04T10:40:00,991.03,9
326,2025-01-05T22:19:00,142.87,2
327,2025-01-05T15:53:00,578.02,7
328,2025-01-05T21:39:00,552.73,3
329,2025-01-05T06:29:00,51.43,1
330,2025-01-05T11:14:00,643.11,8
331,2025-01-05T22:21:00,950.28,9
332,2025-01-05T21:10:00,881.64,10
333,2025-01-05T22:32:00,702.23,5
334,2025-01-05T09:19:00,544.16,3
335,2025-01-05T19:13:00,609.45,7
336,2025-01-05T09:47:00,684.96,4
337,2025-01-05T18:46:00,1236.94,9
338,2025-01-05T22:07:00,1322.29,9
339,2025-01-05T08:03:00,444.17,3
340,2025-01-05T07:08:00,728.31,5
341,2025-01-05T08:58:00,502.31,5
342,2025-01-05T16:57:00,740.3,7
343,2025-01-05T18:08:00,463.23,4
344,2025-01-05T08:08:00,823.68,9
345,2025-01-05T07:03:00,420.68,3
346,2025-01-05T10:36:00,1814.89,13
347,2025-01-05T10:11:00,458.43,3
348,2025-01-05T19:06:00,439.02,3
349,2025-01-05T19:16:00,1435.91,12
350,2025-01-05T12:09:00,213.21,3
351,2025-01-05T11:23:00,140.81,1
352,2025-01-05T20:43:00,418.16,5
353,2025-01-05T14:14:00,1210.13,12
354,2025-01-05T22:23:00,980.0,10
355,2025-01-05T22:09:00,487.14,7
356,2025-01-05T15:59:00,143.76,2
357,2025-01-05T15:54:00,1378.7,9
358,2025-01-05T21:28:00,250.54,2
359,2025-01-05T18:58:00,243.42,3
360,2025-01-05T08:39:00,887.44,9
361,2025-01-05T07:57:00,1603.81,12
362,2025-01-05T18:38:00,525.55,5
363,2025-01-05T17:39:00,1080.42,10
364,2025-01-05T16:38:00,742.17,8
365,2025-01-05T18:58:00,206.11,2
366,2025-01-05T10:46:00,576.01,4
367,2025-01-05T19:29:00,238.3,2
368,2025-01-05T13:12:00,802.56,5
369,2025-01-05T18:37:00,838.1,8
370,2025-01-05T18:56:00,1000.4,8
371,2025-01-05T18:02:00,194.22,3
372,2025-01-05T15:03:00,1012.59,7
373,2025-01-05T17:23:00,1345.53,9
374,2025-01-05T10:34:00,754.38,6
375,2025-01-05T19:01:00,1057.7,8
376,2025-01-05T19:40:00,585.21,3
377,2025-01-05T15:06:00,1391.23,10
378,2025-01-05T10:01:00,1131.21,10
379,2025-01-05T09:07:00,1442.55,9
380,2025-01-05T19:57:00,213.81,3
381,2025-01-06T21:17:00,274.11,3
382,2025-01-06T20:50:00,83.0,1
383,2025-01-06T11:19:00,667.91,7
384,2025-01-06T22:38:00,275.21,3
385,2025-01-06T09:06:00,1381.17,8
386,2025-01-06T15:51:00,868.95,6
387,2025-01-06T14:32:00,782.02,6
388,2025-01-06T12:31:00,653.47,5
389,2025-01-06T22:50:00,670.66,6
390,2025-01-06T22:48:00,1330.97,9
391,2025-01-06T11:14:00,444.93,3
392,2025-01-06T20:35:00,1315.52,8
393,2025-01-06T16:34:00,1102.52,10
394,2025-01-06T19:00:00,1003.82,9
395,2025-01-06T17:13:00,899.42,8
396,2025-01-06T12:08:00,1111.6,7
397,2025-01-06T06:31:00,1242.87,9
398,2025-01-06T18:46:00,95.58,1
399,2025-01-06T13:46:00,116.16,2
400,2025-01-06T08:58:00,644.34,6
401,2025-01-06T06:06:00,753.97,7
402,2025-01-06T13:32:00,163.76,2
403,2025-01-06T11:10:00,726.1,5
404,2025-01-06T06:20:00,196.84,1
405,2025-01-06T18:43:00,1083.72,10
406,2025-01-06T21:43:00,1179.42,10
407,2025-01-06T13:21:00,1184.77,8
408,2025-01-06T09:46:00,463.29,4
409,2025-01-06T08:05:00,293.16,3
410,2025-01-06T10:55:00,260.18,2
411,2025-01-06T22:31:00,2009.79,15
412,2025-01-06T20:00:00,321.74,2
413,2025-01-06T17:52:00,1523.33,11
414,2025-01-06T10:54:00,1269.94,12
415,2025-01-06T10:22:00,1414.22,10
416,2025-01-06T08:22:00,702.19,4
417,2025-01-06T19:44:00,469.73,3
418,2025-01-06T18:49:00,182.92,1
419,2025-01-06T18:29:00,488.62,4
420,2025-01-06T16:36:00,296.66,3
421,2025-01-06T15:52:00,608.78,5
422,2025-01-06T14:48:00,828.3,8
423,2025-01-06T09:05:00,541.68,5
424,2025-01-06T08:48:00,597.42,6
425,2025-01-06T20:52:00,395.25,3
426,2025-01-06T21:00:00,785.12,7
427,2025-01-06T19:45:00,1148.54,12
428,2025-01-06T10:22:00,273.02,5
429,2025-01-06T21:17:00,1291.52,9
430,2025-01-06T11:34:00,486.81,3
431,2025-01-06T07:15:00,1364.71,13
432,2025-01-06T15:10:00,760.2,6
433,2025-01-06T14:23:00,627.84,6
434,2025-01-06T12:49:00,59.17,1
435,2025-01-06T07:14:00,1113.6,10
436,2025-01-06T10:44:00,816.73,7
437,2025-01-06T22:45:00,1440.14,9
438,2025-01-06T17:02:00,106.17,1
439,2025-01-06T12:07:00,743.61,10
440,2025-01-06T08:19:00,1047.84,7
441,2025-01-06T16:17:00,663.3,7
442,2025-01-06T13:38:00,318.06,2
443,2025-01-06T07:30:00,1339.77,8
444,2025-01-06T17:11:00,461.8,7
445,2025-01-06T13:34:00,455.43,4
446,2025-01-06T21:20:00,940.19,8
447,2025-01-06T14:07:00,682.37,5
448,2025-01-06T14:39:00,1250.52,8
449,2025-01-06T15:47:00,295.41,3
450,2025-01-06T22:26:00,857.73,6
451,2025-01-06T20:03:00,243.38,2
452,2025-01-06T20:23:00,1084.76,7
453,2025-01-06T08:37:00,1172.19,11
454,2025-01-06T16:11:00,1154.8,7
455,2025-01-06T20:24:00,199.09,1
456,2025-01-06T17:45:00,948.01,8
457,2025-01-06T10:46:00,1555.35,10
458,2025-01-06T18:12:00,1388.01,9
459,2025-01-06T12:58:00,835.26,8
460,2025-01-06T13:19:00,466.4,4
461,2025-01-06T10:39:00,1665.82,12
462,2025-01-06T18:16:00,1076.8,7
463,2025-01-06T06:10:00,67.3,1
464,2025-01-06T21:40:00,714.14,4
465,2025-01-06T07:01:00,60.88,1
466,2025-01-06T07:37:00,1399.01,12
467,2025-01-06T16:42:00,833.97,9
468,2025-01-06T14:30:00,1238.5,9
469,2025-01-06T07:59:00,272.75,2
470,2025-01-06T17:01:00,1175.15,10
471,2025-01-06T17:03:00,268.87,3
472,2025-01-06T22:43:00,724.96,4
473,2025-01-06T13:35:00,1169.24,10
474,2025-01-06T07:55:00,580.3,5
475,2025-01-06T18:20:00,1204.75,10
476,2025-01-06T21:35:00,501.86,4
477,2025-01-06T06:33:00,328.16,2
478,2025-01-06T20:14:00,537.94,5
479,2025-01-06T12:06:00,741.6,9
480,2025-01-07T18:00:00,402.12,3
481,2025-01-07T18:49:00,1356.53,9
482,2025-01-07T17:16:00,1039.83,6
483,2025-01-07T20:06:00,918.28,6
484,2025-01-07T10:24:00,747.26,9
485,2025-01-07T19:17:00,558.15,3
486,2025-01-07T21:20:00,690.42,5
487,2025-01-07T14:24:00,880.32,7
488,2025-01-07T19:39:00,1361.62,11
489,2025-01-07T13:45:00,798.61,5
490,2025-01-07T17:16:00,870.41,5
491,2025-01-07T14:50:00,590.4,8
492,2025-01-07T09:30:00,1154.15,8
493,2025-01-07T15:50:00,1061.51,9
494,2025-01-07T22:07:00,239.1,2
495,2025-01-07T13:39:00,1058.18,7
496,2025-01-07T19:31:00,1201.3,9
497,2025-01-07T18:30:00,641.47,5
498,2025-01-07T11:47:00,1261.88,8
499,2025-01-07T20:09:00,560.56,3
500,2025-01-07T07:11:00,743.68,7
501,2025-01-07T14:11:00,251.76,2
502,2025-01-07T13:53:00,920.71,8
503,2025-01-07T19:56:00,991.57,7
504,2025-01-07T07:46:00,1242.65,10
505,2025-01-07T07:35:00,1479.55,11
506,2025-01-07T07:29:00,336.32,3
507,2025-01-07T08:44:00,927.86,6
508,2025-01-07T08:16:00,690.39,5
509,2025-01-07T19:50:00,534.06,3
510,2025-01-07T07:05:00,359.06,4
511,2025-01-07T13:23:00,667.57,5
512,2025-01-07T13:06:00,268.0,2
513,2025-01-07T18:34:00,453.68,4
514,2025-01-07T12:40:00,1217.52,9
515,2025-01-07T13:19:00,660.39,6
516,2025-01-07T10:01:00,323.12,5
517,2025-01-07T07:02:00,1474.72,11
518,2025-01-07T06:13:00,1210.97,10
519,2025-01-07T06:42:00,883.8,6
520,2025-01-07T09:20:00,119.59,1
521,2025-01-07T09:49:00,1462.72,10
522,2025-01-07T06:15:00,1122.97,7
523,2025-01-07T15:25:00,1300.61,10
524,2025-01-07T18:09:00,753.03,7
525,2025-01-07T17:16:00,474.93,4
526,2025-01-07T16:02:00,197.06,1
527,2025-01-07T12:32:00,1463.68,10
528,2025-01-07T19:43:00,1265.03,8
529,2025-01-07T17:33:00,628.7,4
530,2025-01-07T13:44:00,653.0,4
531,2025-01-08T09:46:00,1381.61,10
532,2025-01-08T22:35:00,988.55,10
533,2025-01-08T11:04:00,1272.75,8
534,2025-01-08T17:48:00,515.89,3
535,2025-01-08T17:46:00,1226.18,10
536,2025-01-08T19:43:00,1485.94,11
537,2025-01-08T22:20:00,961.47,8
538,2025-01-08T07:50:00,453.55,5
539,2025-01-08T07:53:00,76.99,1
540,2025-01-08T10:38:00,394.79,4
541,2025-01-08T14:14:00,952.95,10
542,2025-01-08T18:48:00,2005.46,11
543,2025-01-08T15:44:00,801.94,7
544,2025-01-08T06:17:00,839.25,5
545,2025-01-08T18:22:00,314.04,3
546,2025-01-08T20:25:00,812.18,9
547,2025-01-08T11:25:00,915.0,7
548,2025-01-08T13:40:00,1312.34,9
549,2025-01-08T07:03:00,1116.49,8
550,2025-01-08T13:20:00,1062.09,9
551,2025-01-08T08:14:00,771.31,8
552,2025-01-08T10:12:00,1163.38,8
553,2025-01-08T22:26:00,609.61,4
554,2025-01-08T16:44:00,989.72,7
555,2025-01-08T19:25:00,527.95,5
556,2025-01-08T16:33:00,587.57,4
557,2025-01-08T08:38:00,1748.27,11
558,2025-01-08T11:49:00,723.38,7
559,2025-01-08T16:32:00,347.28,2
560,2025-01-08T16:43:00,1014.19,9
561,2025-01-08T20:30:00,896.79,9
562,2025-01-08T09:59:00,415.9,4
563,2025-01-08T14:11:00,1465.88,13
564,2025-01-08T16:28:00,1483.95,9
565,2025-01-08T16:41:00,181.05,1
566,2025-01-08T11:06:00,1183.48,8
567,2025-01-08T19:56:00,584.01,3
568,2025-01-08T06:48:00,476.73,3
569,2025-01-08T16:14:00,361.62,3
570,2025-01-08T14:50:00,1489.02,12
571,2025-01-08T19:13:00,593.46,3
572,2025-01-08T19:08:00,1170.72,8
573,2025-01-08T17:22:00,534.91,5
574,2025-01-08T11:22:00,956.91,8
575,2025-01-08T21:58:00,989.85,8
576,2025-01-08T22:27:00,543.9,5
577,2025-01-08T13:09:00,82.13,1
578,2025-01-08T08:44:00,180.33,3
579,2025-01-08T07:27:00,252.88,2
580,2025-01-08T10:20:00,448.36,5
581,2025-01-08T14:32:00,480.49,4
582,2025-01-08T08:57:00,668.49,7
583,2025-01-08T14:36:00,519.76,4
584,2025-01-08T16:10:00,406.22,5
585,2025-01-08T15:30:00,1075.33,8
586,2025-01-08T08:54:00,461.97,3
587,2025-01-08T12:27:00,846.13,6
588,2025-01-08T18:27:00,729.06,7
589,2025-01-08T10:51:00,712.5,4
590,2025-01-08T11:28:00,341.36,2
591,2025-01-08T22:43:00,1686.02,13
592,2025-01-08T10:49:00,278.97,3
593,2025-01-08T06:53:00,834.55,8
594,2025-01-08T06:37:00,1008.45,7
595,2025-01-08T17:15:00,911.32,9
596,2025-01-08T09:12:00,562.19,7
597,2025-01-08T10:16:00,1017.63,11
598,2025-01-08T08:52:00,500.19,5
599,2025-01-08T09:57:00,857.48,9
600,2025-01-08T18:20:00,1081.3,7
601,2025-01-08T17:57:00,1628.09,11
602,2025-01-08T11:29:00,553.41,4
603,2025-01-08T10:44:00,987.59,9
604,2025-01-08T18:36:00,562.34,5
605,2025-01-08T09:54:00,540.87,5
606,2025-01-08T21:24:00,370.91,4
607,2025-01-08T07:00:00,593.09,5
608,2025-01-08T14:01:00,1541.89,11
609,2025-01-09T11:28:00,112.59,1
610,2025-01-09T14:38:00,1540.45,11
611,2025-01-09T06:51:00,1576.62,10
612,2025-01-09T11:42:00,811.23,6
613,2025-01-09T06:47:00,1300.05,10
614,2025-01-09T18:00:00,287.94,3
615,2025-01-09T09:39:00,740.98,6
616,2025-01-09T13:14:00,482.46,3
617,2025-01-09T18:01:00,446.49,3
618,2025-01-09T20:02:00,922.73,9
619,2025-01-09T18:35:00,758.4,6
620,2025-01-09T06:42:00,898.23,6
621,2025-01-09T10:59:00,379.11,3
622,2025-01-09T10:08:00,1209.74,12
623,2025-01-09T08:55:00,1541.73,13
624,2025-01-09T06:02:00,812.37,6
625,2025-01-09T08:53:00,335.25,5
626,2025-01-09T08:03:00,533.74,6
627,2025-01-09T15:42:00,1053.94,10
628,2025-01-09T10:35:00,254.1,2
629,2025-01-09T15:50:00,530.89,6
630,2025-01-09T12:02:00,577.32,6
631,2025-01-09T19:13:00,763.57,6
632,2025-01-09T20:49:00,577.9,5
633,2025-01-09T08:44:00,1489.95,12
634,2025-01-09T19:11:00,1287.27,10
635,2025-01-09T08:00:00,343.52,2
636,2025-01-09T21:14:00,1470.28,9
637,2025-01-09T11:24:00,436.37,5
638,2025-01-09T12:03:00,1077.22,6
639,2025-01-09T12:39:00,1089.56,7
640,2025-01-09T14:16:00,1276.29,8
641,2025-01-09T19:59:00,979.43,7
642,2025-01-09T20:12:00,936.38,10
643,2025-01-09T06:07:00,442.69,4
644,2025-01-09T08:56:00,98.36,1
645,2025-01-09T06:34:00,1468.1,9
646,2025-01-09T08:57:00,623.87,4
647,2025-01-09T18:49:00,260.84,2
648,2025-01-09T14:06:00,713.44,7
649,2025-01-09T12:04:00,526.94,5
650,2025-01-09T13:16:00,568.37,6
651,2025-01-09T09:44:00,547.0,5
652,2025-01-09T19:19:00,1124.35,10
653,2025-01-09T13:26:00,711.66,9
654,2025-01-09T15:48:00,1036.9,8
655,2025-01-09T11:05:00,364.74,2
656,2025-01-09T18:27:00,729.9,5
